Game,Date,Winning_team,Score,Losing_team,Venue,City,Attendance
I,"January 15, 1967","Green Bay Packers",35–10,"Kansas City Chiefs",Los Angeles Memorial Coliseum,"Los Angeles, California","61,946"
II,"January 14, 1968","Green Bay Packers",33–14,"Oakland Raiders",Miami Orange Bowl,"Miami, Florida","75,546"
III,"January 12, 1969","New York Jets",16–7,"Baltimore Colts",Miami Orange Bowl,"Miami, Florida","75,389"
IV,"January 11, 1970","Kansas City Chiefs",23–7,"Minnesota Vikings",Tulane Stadium,"New Orleans, Louisiana","80,562"
V,"January 17, 1971","Baltimore Colts",16–13,"Dallas Cowboys",Miami Orange Bowl,"Miami, Florida","79,204"
VI,"January 16, 1972","Dallas Cowboys",24–3,"Miami Dolphins",Tulane Stadium,"New Orleans, Louisiana","81,023"
VII,"January 14, 1973","Miami Dolphins",14–7,"Washington Redskins",Los Angeles Memorial Coliseum,"Los Angeles, California","90,182"
VIII,"January 13, 1974","Miami Dolphins",24–7,"Minnesota Vikings",Rice Stadium,"Houston, Texas","71,882"
IX,"January 12, 1975","Pittsburgh Steelers",16–6,"Minnesota Vikings",Tulane Stadium,"New Orleans, Louisiana","80,997"
X,"January 18, 1976","Pittsburgh Steelers",21–17,"Dallas Cowboys",Miami Orange Bowl,"Miami, Florida","80,187"
XI,"January 9, 1977","Oakland Raiders",32–14,"Minnesota Vikings",Rose Bowl,"Pasadena, California","103,438"
XII,"January 15, 1978","Dallas Cowboys",27–10,"Denver Broncos",Louisiana Superdome,"New Orleans, Louisiana","76,400"
XIII,"January 21, 1979","Pittsburgh Steelers",35–31,"Dallas Cowboys",Miami Orange Bowl,"Miami, Florida","79,484"
XIV,"January 20, 1980","Pittsburgh Steelers",31–19,"Los Angeles Rams",Rose Bowl,"Pasadena, California","103,985"
XV,"January 25, 1981","Oakland Raiders",27–10,"Philadelphia Eagles",Louisiana Superdome,"New Orleans, Louisiana","76,135"
XVI,"January 24, 1982","San Francisco 49ers",26–21,"Cincinnati Bengals",Pontiac Silverdome,"Pontiac, Michigan","81,270"
XVII,"January 30, 1983","Washington Redskins",27–17,"Miami Dolphins",Rose Bowl,"Pasadena, California","103,667"
XVIII,"January 22, 1984","Los Angeles Raiders",38–9,"Washington Redskins",Tampa Stadium,"Tampa, Florida","72,920"
XIX,"January 20, 1985","San Francisco 49ers",38–16,"Miami Dolphins",Stanford Stadium,"Stanford, California","84,059"
XX,"January 26, 1986","Chicago Bears",46–10,"New England Patriots",Louisiana Superdome,"New Orleans, Louisiana","73,818"
XXI,"January 25, 1987","New York Giants",39–20,"Denver Broncos",Rose Bowl,"Pasadena, California","101,063"
XXII,"January 31, 1988","Washington Redskins",42–10,"Denver Broncos",San Diego–Jack Murphy Stadium,"San Diego, California","73,302"
XXIII,"January 22, 1989","San Francisco 49ers",20–16,"Cincinnati Bengals",Joe Robbie Stadium,"Miami Gardens, Florida","75,129"
XXIV,"January 28, 1990","San Francisco 49ers",55–10,"Denver Broncos",Louisiana Superdome,"New Orleans, Louisiana","72,919"
XXV,"January 27, 1991","New York Giants",20–19,"Buffalo Bills",Tampa Stadium,"Tampa, Florida","73,813"
XXVI,"January 26, 1992","Washington Redskins",37–24,"Buffalo Bills",Metrodome,"Minneapolis, Minnesota","63,130"
XXVII,"January 31, 1993","Dallas Cowboys",52–17,"Buffalo Bills",Rose Bowl,"Pasadena, California","98,374"
XXVIII,"January 30, 1994","Dallas Cowboys",30–13,"Buffalo Bills",Georgia Dome,"Atlanta, Georgia","72,817"
XXIX,"January 29, 1995","San Francisco 49ers",49–26,"San Diego Chargers",Joe Robbie Stadium,"Miami Gardens, Florida","74,107"
XXX,"January 28, 1996","Dallas Cowboys",27–17,"Pittsburgh Steelers",Sun Devil Stadium,"Tempe, Arizona","76,347"
XXXI,"January 26, 1997","Green Bay Packers",35–21,"New England Patriots",Louisiana Superdome,"New Orleans, Louisiana","72,301"
XXXII,"January 25, 1998","Denver Broncos",31–24,"Green Bay Packers",Qualcomm Stadium,"San Diego, California","68,912"
XXXIII,"January 31, 1999","Denver Broncos",34–19,"Atlanta Falcons",Pro Player Stadium,"Miami Gardens, Florida","74,803"
XXXIV,"January 30, 2000","St. Louis Rams",23–16,"Tennessee Titans",Georgia Dome,"Atlanta, Georgia","72,625"
XXXV,"January 28, 2001","Baltimore Ravens",34–7,"New York Giants",Raymond James Stadium,"Tampa, Florida","71,921"
XXXVI,"February 3, 2002","New England Patriots",20–17,"St. Louis Rams",Louisiana Superdome,"New Orleans, Louisiana","72,922"
XXXVII,"January 26, 2003","Tampa Bay Buccaneers",48–21,"Oakland Raiders",Qualcomm Stadium,"San Diego, California","67,603"
XXXVIII,"February 1, 2004","New England Patriots",32–29,"Carolina Panthers",Reliant Stadium,"Houston, Texas","71,525"
XXXIX,"February 6, 2005","New England Patriots",24–21,"Philadelphia Eagles",Alltel Stadium,"Jacksonville, Florida","78,125"
XL,"February 5, 2006","Pittsburgh Steelers",21–10,"Seattle Seahawks",Ford Field,"Detroit, Michigan","68,206"
XLI,"February 4, 2007","Indianapolis Colts",29–17,"Chicago Bears",Dolphin Stadium,"Miami Gardens, Florida","74,512"
XLII,"February 3, 2008","New York Giants",17–14,"New England Patriots",University of Phoenix Stadium,"Glendale, Arizona","71,101"
XLIII,"February 1, 2009","Pittsburgh Steelers",27–23,"Arizona Cardinals",Raymond James Stadium,"Tampa, Florida","70,774"
XLIV,"February 7, 2010","New Orleans Saints",31–17,"Indianapolis Colts",Sun Life Stadium,"Miami Gardens, Florida","74,059"
XLV,"February 6, 2011","Green Bay Packers",31–25,"Pittsburgh Steelers",Cowboys Stadium,"Arlington, Texas","103,219"
XLVI,"February 5, 2012","New York Giants",21–17,"New England Patriots",Lucas Oil Stadium,"Indianapolis, Indiana","68,658"
XLVII,"February 3, 2013","Baltimore Ravens",34–31,"San Francisco 49ers",Mercedes-Benz Superdome,"New Orleans, Louisiana","71,024"
XLVIII,"February 2, 2014","Seattle Seahawks",43–8,"Denver Broncos",MetLife Stadium,"East Rutherford, New Jersey","82,529"
XLIX,"February 1, 2015","New England Patriots",28–24,"Seattle Seahawks",University of Phoenix Stadium,"Glendale, Arizona","70,288"
L,"February 7, 2016","Denver Broncos",24–10,"Carolina Panthers",Levi's Stadium,"Santa Clara, California","71,088"
LI,"February 5, 2017","New England Patriots",34–28 (OT),"Atlanta Falcons",NRG Stadium,"Houston, Texas","70,807"
LII,"February 4, 2018","Philadelphia Eagles",41–33,"New England Patriots",U.S. Bank Stadium,"Minneapolis, Minnesota","67,612"
LIII,"February 3, 2019","New England Patriots",13–3,"Los Angeles Rams",Mercedes-Benz Stadium,"Atlanta, Georgia","70,081"
